Statistical Parity Difference,Equal Opportunity Difference,Average Odds Difference,Disparat Impact,thresh
-0.031,0.0,0,0.955,0.01
-0.042,0.003,0,0.936,0.0198989898989899
-0.053,0.005,0,0.913,0.029797979797979796
-0.062,0.005,0,0.893,0.039696969696969696
-0.072,0.005,0,0.873,0.049595959595959596
-0.074,0.005,0,0.862,0.059494949494949496
-0.084,0.005,0,0.836,0.06939393939393938
-0.1,0.008,0,0.799,0.07929292929292929
-0.108,0.008,0,0.773,0.08919191919191918
-0.116,0.008,0,0.747,0.09909090909090908
-0.115,0.008,0,0.738,0.10898989898989898
-0.111,0.008,0,0.734,0.11888888888888888
-0.113,0.008,0,0.718,0.12878787878787878
-0.101,0.004,0,0.736,0.1386868686868687
-0.094,-0.004,0,0.741,0.1485858585858586
-0.092,-0.007,0,0.735,0.15848484848484848
-0.087,-0.002,0,0.742,0.16838383838383839
-0.09,0.003,0,0.726,0.1782828282828283
-0.087,-0.0,0,0.727,0.18818181818181817
-0.083,-0.0,0,0.734,0.19808080808080808
-0.08,-0.006,0,0.734,0.207979797979798
-0.079,-0.009,0,0.731,0.21787878787878787
-0.079,-0.005,0,0.725,0.22777777777777777
-0.075,-0.003,0,0.732,0.23767676767676768
-0.072,-0.008,0,0.738,0.24757575757575756
-0.068,-0.009,0,0.746,0.25747474747474747
-0.062,-0.001,0,0.761,0.2673737373737374
-0.063,-0.006,0,0.757,0.2772727272727273
-0.058,-0.005,0,0.768,0.2871717171717172
-0.059,-0.016,0,0.758,0.29707070707070704
-0.06,-0.024,0,0.751,0.30696969696969695
-0.059,-0.025,0,0.752,0.31686868686868686
-0.058,-0.023,0,0.754,0.32676767676767676
-0.053,-0.007,0,0.768,0.33666666666666667
-0.055,-0.015,0,0.758,0.3465656565656566
-0.054,-0.014,0,0.759,0.3564646464646465
-0.053,-0.015,0,0.759,0.36636363636363634
-0.051,-0.011,0,0.765,0.37626262626262624
-0.05,-0.01,0,0.767,0.38616161616161615
-0.049,-0.014,0,0.768,0.39606060606060606
-0.047,-0.011,0,0.774,0.40595959595959596
-0.041,0.008,0,0.798,0.41585858585858587
-0.04,0.016,0,0.797,0.4257575757575757
-0.042,0.007,0,0.789,0.43565656565656563
-0.042,0.007,0,0.786,0.44555555555555554
-0.041,0.015,0,0.789,0.45545454545454545
-0.041,0.014,0,0.785,0.46535353535353535
-0.041,0.011,0,0.784,0.47525252525252526
-0.042,-0.001,0,0.777,0.4851515151515151
-0.041,0.005,0,0.78,0.495050505050505
-0.042,-0.003,0,0.774,0.5049494949494949
-0.042,-0.004,0,0.769,0.5148484848484849
-0.041,-0.005,0,0.773,0.5247474747474747
-0.037,0.01,0,0.789,0.5346464646464646
-0.038,0.007,0,0.781,0.5445454545454546
-0.038,0.005,0,0.779,0.5544444444444444
-0.04,-0.003,0,0.771,0.5643434343434344
-0.037,0.008,0,0.782,0.5742424242424242
-0.037,0.007,0,0.78,0.5841414141414141
-0.037,0.004,0,0.781,0.594040404040404
-0.037,-0.001,0,0.775,0.6039393939393939
-0.037,0.001,0,0.777,0.6138383838383838
-0.036,0.002,0,0.778,0.6237373737373737
-0.035,0.009,0,0.781,0.6336363636363637
-0.035,0.007,0,0.779,0.6435353535353535
-0.035,0.009,0,0.781,0.6534343434343434
-0.035,0.003,0,0.778,0.6633333333333333
-0.035,-0.0,0,0.774,0.6732323232323232
-0.033,0.007,0,0.782,0.6831313131313131
-0.032,0.012,0,0.789,0.693030303030303
-0.033,0.008,0,0.78,0.702929292929293
-0.035,0.004,0,0.765,0.7128282828282828
-0.034,0.008,0,0.77,0.7227272727272727
-0.037,-0.011,0,0.747,0.7326262626262626
-0.038,-0.018,0,0.739,0.7425252525252525
-0.039,-0.025,0,0.729,0.7524242424242424
-0.038,-0.023,0,0.736,0.7623232323232323
-0.038,-0.023,0,0.736,0.7722222222222221
-0.039,-0.029,0,0.727,0.7821212121212121
-0.038,-0.027,0,0.732,0.792020202020202
-0.038,-0.031,0,0.727,0.8019191919191919
-0.039,-0.035,0,0.722,0.8118181818181818
-0.04,-0.044,0,0.711,0.8217171717171717
-0.038,-0.035,0,0.715,0.8316161616161616
-0.037,-0.029,0,0.722,0.8415151515151514
-0.038,-0.036,0,0.708,0.8514141414141414
-0.038,-0.035,0,0.701,0.8613131313131313
-0.036,-0.029,0,0.706,0.8712121212121212
-0.038,-0.041,0,0.689,0.8811111111111111
-0.04,-0.05,0,0.676,0.891010101010101
-0.039,-0.051,0,0.673,0.9009090909090909
-0.037,-0.047,0,0.678,0.9108080808080807
-0.033,-0.034,0,0.702,0.9207070707070707
-0.037,-0.057,0,0.663,0.9306060606060605
-0.038,-0.068,0,0.642,0.9405050505050505
-0.037,-0.066,0,0.64,0.9504040404040404
-0.031,-0.049,0,0.661,0.9603030303030302
-0.025,-0.029,0,0.698,0.9702020202020202
-0.024,-0.031,0,0.69,0.98010101010101
-0.018,-0.017,0,0.715,0.99
