Statistical Parity Difference,Equal Opportunity Difference,Average Odds Difference,Disparat Impact,thresh
0.073,-0.004,0,1.11,0.01
0.087,-0.002,0,1.143,0.0198989898989899
0.092,-0.002,0,1.159,0.029797979797979796
0.081,-0.002,0,1.148,0.039696969696969696
0.077,-0.002,0,1.146,0.049595959595959596
0.073,-0.002,0,1.144,0.059494949494949496
0.076,-0.002,0,1.156,0.06939393939393938
0.077,-0.002,0,1.166,0.07929292929292929
0.084,-0.002,0,1.187,0.08919191919191918
0.089,0.0,0,1.204,0.09909090909090908
0.084,0.0,0,1.198,0.10898989898989898
0.083,0.0,0,1.2,0.11888888888888888
0.08,-0.003,0,1.201,0.12878787878787878
0.071,-0.003,0,1.184,0.1386868686868687
0.054,-0.015,0,1.141,0.1485858585858586
0.048,-0.019,0,1.132,0.15848484848484848
0.048,-0.019,0,1.137,0.16838383838383839
0.038,-0.025,0,1.112,0.1782828282828283
0.034,-0.025,0,1.102,0.18818181818181817
0.035,-0.023,0,1.108,0.19808080808080808
0.031,-0.019,0,1.1,0.207979797979798
0.032,-0.014,0,1.103,0.21787878787878787
0.027,-0.01,0,1.09,0.22777777777777777
0.023,-0.008,0,1.079,0.23767676767676768
0.016,-0.008,0,1.056,0.24757575757575756
0.014,-0.004,0,1.049,0.25747474747474747
0.01,-0.003,0,1.037,0.2673737373737374
-0.001,-0.001,0,0.997,0.2772727272727273
-0.001,0.001,0,0.996,0.2871717171717172
-0.004,0.001,0,0.984,0.29707070707070704
-0.014,0.002,0,0.948,0.30696969696969695
-0.015,0.008,0,0.943,0.31686868686868686
-0.019,0.015,0,0.927,0.32676767676767676
-0.027,0.009,0,0.892,0.33666666666666667
-0.033,0.001,0,0.866,0.3465656565656566
-0.033,-0.0,0,0.864,0.3564646464646465
-0.034,0.002,0,0.859,0.36636363636363634
-0.034,0.009,0,0.858,0.37626262626262624
-0.037,0.007,0,0.84,0.38616161616161615
-0.035,0.016,0,0.848,0.39606060606060606
-0.037,0.012,0,0.836,0.40595959595959596
-0.036,0.016,0,0.837,0.41585858585858587
-0.039,0.012,0,0.82,0.4257575757575757
-0.043,-0.002,0,0.802,0.43565656565656563
-0.043,0.002,0,0.799,0.44555555555555554
-0.044,-0.003,0,0.792,0.45545454545454545
-0.046,-0.022,0,0.778,0.46535353535353535
-0.049,-0.019,0,0.76,0.47525252525252526
-0.047,-0.025,0,0.765,0.4851515151515151
-0.046,-0.016,0,0.77,0.495050505050505
-0.044,-0.013,0,0.773,0.5049494949494949
-0.046,-0.014,0,0.761,0.5148484848484849
-0.048,-0.022,0,0.749,0.5247474747474747
-0.051,-0.037,0,0.729,0.5346464646464646
-0.052,-0.045,0,0.722,0.5445454545454546
-0.05,-0.044,0,0.728,0.5544444444444444
-0.05,-0.04,0,0.728,0.5643434343434344
-0.049,-0.041,0,0.728,0.5742424242424242
-0.048,-0.039,0,0.734,0.5841414141414141
-0.049,-0.043,0,0.727,0.594040404040404
-0.048,-0.045,0,0.727,0.6039393939393939
-0.048,-0.042,0,0.725,0.6138383838383838
-0.049,-0.052,0,0.715,0.6237373737373737
-0.048,-0.045,0,0.718,0.6336363636363637
-0.049,-0.053,0,0.708,0.6435353535353535
-0.051,-0.066,0,0.693,0.6534343434343434
-0.051,-0.06,0,0.693,0.6633333333333333
-0.052,-0.055,0,0.685,0.6732323232323232
-0.051,-0.056,0,0.682,0.6831313131313131
-0.05,-0.052,0,0.686,0.693030303030303
-0.051,-0.059,0,0.677,0.702929292929293
-0.051,-0.065,0,0.671,0.7128282828282828
-0.05,-0.058,0,0.677,0.7227272727272727
-0.054,-0.074,0,0.652,0.7326262626262626
-0.053,-0.07,0,0.652,0.7425252525252525
-0.051,-0.059,0,0.662,0.7524242424242424
-0.05,-0.06,0,0.664,0.7623232323232323
-0.048,-0.056,0,0.668,0.7722222222222221
-0.048,-0.057,0,0.666,0.7821212121212121
-0.048,-0.061,0,0.66,0.792020202020202
-0.048,-0.062,0,0.657,0.8019191919191919
-0.051,-0.078,0,0.637,0.8118181818181818
-0.049,-0.077,0,0.644,0.8217171717171717
-0.048,-0.077,0,0.643,0.8316161616161616
-0.048,-0.078,0,0.64,0.8415151515151514
-0.047,-0.074,0,0.644,0.8514141414141414
-0.044,-0.065,0,0.656,0.8613131313131313
-0.044,-0.064,0,0.655,0.8712121212121212
-0.044,-0.067,0,0.649,0.8811111111111111
-0.042,-0.066,0,0.65,0.891010101010101
-0.044,-0.082,0,0.629,0.9009090909090909
-0.045,-0.091,0,0.615,0.9108080808080807
-0.046,-0.106,0,0.588,0.9207070707070707
-0.047,-0.113,0,0.571,0.9306060606060605
-0.046,-0.118,0,0.561,0.9405050505050505
-0.044,-0.114,0,0.557,0.9504040404040404
-0.043,-0.109,0,0.558,0.9603030303030302
-0.039,-0.101,0,0.558,0.9702020202020202
-0.036,-0.096,0,0.552,0.98010101010101
-0.036,-0.107,0,0.497,0.99
