bal_acc,eq_opp_diff,error_rate_diff,consistency,thresh
0.75,0.0081,0.0012,0.8503,0.01
0.785,0.0081,-0.0222,0.8503,0.02
0.805,0.0081,-0.0289,0.8503,0.03
0.8183,0.0081,-0.0199,0.8503,0.04
0.8289,0.0081,-0.0112,0.8503,0.05
0.8387,0.0081,-0.0093,0.8503,0.059
0.8528,0.0081,-0.019,0.8503,0.069
0.8677,0.0081,-0.023,0.8503,0.079
0.8784,0.0081,-0.0251,0.8503,0.089
0.8933,0.0081,-0.0336,0.8503,0.099
0.9078,0.0081,-0.0401,0.8503,0.109
0.9147,0.0081,-0.036,0.8503,0.119
0.9236,0.0081,-0.0295,0.8503,0.129
0.9311,0.0069,-0.0366,0.8503,0.139
0.9388,0.0069,-0.0383,0.8503,0.149
0.9464,0.0069,-0.0387,0.8503,0.158
0.9494,0.0069,-0.0334,0.8503,0.168
0.9571,0.0069,-0.0383,0.8503,0.178
0.9607,0.003,-0.0396,0.8503,0.188
0.9622,0.0019,-0.0349,0.8503,0.198
0.9661,0.0019,-0.0304,0.8503,0.208
0.9682,0.0019,-0.0262,0.8503,0.218
0.969,0.0019,-0.0206,0.8503,0.228
0.972,0.0045,-0.0229,0.8503,0.238
0.9707,0.0022,-0.0219,0.8503,0.248
0.9718,0.0091,-0.0261,0.8503,0.257
0.9722,0.0091,-0.0204,0.8503,0.267
0.9683,0.0094,-0.0139,0.8503,0.277
0.963,-0.0021,-0.0093,0.8503,0.287
0.9604,-0.0072,-0.0087,0.8503,0.297
0.9544,-0.0146,-0.0093,0.8503,0.307
0.9514,-0.0169,-0.0081,0.8503,0.317
0.9456,-0.0177,-0.0066,0.8503,0.327
0.946,-0.0043,-0.0054,0.8503,0.337
0.9344,-0.0221,-0.0012,0.8503,0.347
0.9318,-0.0164,-0.0051,0.8503,0.356
0.9331,-0.0056,-0.0097,0.8503,0.366
0.9243,-0.0169,-0.0095,0.8503,0.376
0.9175,-0.0215,-0.0082,0.8503,0.386
0.9145,-0.0158,-0.0113,0.8503,0.396
0.9106,-0.0128,-0.0119,0.8503,0.406
0.9106,-0.002,-0.0138,0.8503,0.416
0.9067,0.001,-0.0149,0.8503,0.426
0.9052,0.0052,-0.0156,0.8503,0.436
0.9033,0.004,-0.0155,0.8503,0.446
0.8975,0.0032,-0.016,0.8503,0.455
0.8926,-0.0084,-0.014,0.8503,0.465
0.8891,-0.0081,-0.0152,0.8503,0.475
0.8876,-0.0065,-0.0159,0.8503,0.485
0.8842,-0.0089,-0.0158,0.8503,0.495
0.8823,-0.0101,-0.0157,0.8503,0.505
0.8808,-0.0005,-0.0183,0.8503,0.515
0.8808,0.0076,-0.0183,0.8503,0.525
0.8808,0.0103,-0.0189,0.8503,0.535
0.8793,0.0118,-0.0189,0.8503,0.545
0.8773,0.0133,-0.0195,0.8503,0.554
0.8758,0.0148,-0.0208,0.8503,0.564
0.872,0.0205,-0.0219,0.8503,0.574
0.8724,0.0286,-0.0239,0.8503,0.584
0.8705,0.0355,-0.0251,0.8503,0.594
0.8666,0.0332,-0.025,0.8503,0.604
0.8647,0.032,-0.0243,0.8503,0.614
0.8569,0.0165,-0.0209,0.8503,0.624
0.8554,0.018,-0.0222,0.8503,0.634
0.8554,0.0207,-0.0228,0.8503,0.644
0.8535,0.0249,-0.024,0.8503,0.653
0.8458,0.0202,-0.0238,0.8503,0.663
0.84,0.0114,-0.0217,0.8503,0.673
0.84,0.0194,-0.0236,0.8503,0.683
0.8342,0.0105,-0.0222,0.8503,0.693
0.8342,0.0132,-0.0228,0.8503,0.703
0.8342,0.0186,-0.0241,0.8503,0.713
0.8284,0.0178,-0.0245,0.8503,0.723
0.8245,0.0127,-0.0238,0.8503,0.733
0.8188,0.0065,-0.023,0.8503,0.743
0.8149,0.0095,-0.0241,0.8503,0.752
0.8149,0.0122,-0.0247,0.8503,0.762
0.813,0.0138,-0.0253,0.8503,0.772
0.8091,0.0087,-0.0246,0.8503,0.782
0.8033,-0.0002,-0.0231,0.8503,0.792
0.8018,0.004,-0.0237,0.8503,0.802
0.7999,0.0002,-0.0231,0.8503,0.812
0.7964,-0.0049,-0.023,0.8503,0.822
0.7907,-0.0111,-0.0222,0.8503,0.832
0.7887,-0.0122,-0.0221,0.8503,0.842
0.7849,-0.0119,-0.0226,0.8503,0.851
0.7814,-0.0143,-0.0232,0.8503,0.861
0.7795,-0.0127,-0.0238,0.8503,0.871
0.7698,-0.0294,-0.0209,0.8503,0.881
0.766,-0.0263,-0.0215,0.8503,0.891
0.7621,-0.0287,-0.0213,0.8503,0.901
0.7544,-0.0253,-0.023,0.8503,0.911
0.7428,-0.0404,-0.0201,0.8503,0.921
0.7332,-0.0382,-0.0211,0.8503,0.931
0.7274,-0.0417,-0.0209,0.8503,0.941
0.7119,-0.0538,-0.0198,0.8503,0.95
0.7023,-0.0516,-0.0214,0.8503,0.96
0.6931,-0.0548,-0.0224,0.8503,0.97
0.6795,-0.0388,-0.0271,0.8503,0.98
0.6564,-0.0233,-0.0334,0.8503,0.99
