bal_acc,eq_opp_diff,error_rate_diff,consistency,thresh
0.7694,0.0062,-0.0551,0.8503,0.01
0.799,0.0062,-0.0578,0.8503,0.02
0.8201,0.0062,-0.0635,0.8503,0.03
0.8319,0.0062,-0.0535,0.8503,0.04
0.8412,0.0062,-0.0439,0.8503,0.05
0.8564,0.0062,-0.0535,0.8503,0.059
0.8666,0.0062,-0.051,0.8503,0.069
0.8877,0.0062,-0.066,0.8503,0.079
0.9029,0.0062,-0.0765,0.8503,0.089
0.9096,0.0062,-0.0642,0.8503,0.099
0.9189,0.0062,-0.0568,0.8503,0.109
0.9282,0.0062,-0.0587,0.8503,0.119
0.9383,0.0062,-0.0562,0.8503,0.129
0.9401,0.0017,-0.0505,0.8503,0.139
0.9477,0.0017,-0.0511,0.8503,0.149
0.9536,0.0017,-0.0472,0.8503,0.158
0.9604,0.0017,-0.0513,0.8503,0.168
0.9629,0.0017,-0.0434,0.8503,0.178
0.963,-0.0049,-0.0385,0.8503,0.188
0.9639,-0.0095,-0.0359,0.8503,0.198
0.9664,-0.0095,-0.0297,0.8503,0.208
0.9681,-0.0095,-0.0258,0.8503,0.218
0.9732,-0.0095,-0.0307,0.8503,0.228
0.9749,-0.0074,-0.0294,0.8503,0.238
0.9699,-0.0164,-0.025,0.8503,0.248
0.96,-0.0321,-0.017,0.8503,0.257
0.9617,-0.0321,-0.0157,0.8503,0.267
0.9518,-0.0478,-0.0076,0.8503,0.277
0.9526,-0.0416,-0.0081,0.8503,0.287
0.9534,-0.0353,-0.0085,0.8503,0.297
0.951,-0.0295,-0.009,0.8503,0.307
0.9518,-0.0211,-0.0099,0.8503,0.317
0.9419,-0.0327,-0.0063,0.8503,0.327
0.9419,-0.0223,-0.0045,0.8503,0.337
0.9394,-0.0143,-0.0072,0.8503,0.347
0.9378,-0.0084,-0.0108,0.8503,0.356
0.9345,-0.0088,-0.0094,0.8503,0.366
0.9279,-0.0095,-0.0085,0.8503,0.376
0.9287,0.0071,-0.0112,0.8503,0.386
0.9287,0.0217,-0.0134,0.8503,0.396
0.9287,0.0342,-0.0156,0.8503,0.406
0.9296,0.0425,-0.0187,0.8503,0.416
0.9296,0.055,-0.0214,0.8503,0.426
0.9304,0.0634,-0.0236,0.8503,0.436
0.9238,0.0501,-0.0209,0.8503,0.446
0.9172,0.0473,-0.0205,0.8503,0.455
0.918,0.0536,-0.0218,0.8503,0.465
0.918,0.064,-0.0236,0.8503,0.475
0.918,0.0702,-0.024,0.8503,0.485
0.918,0.0786,-0.0249,0.8503,0.495
0.918,0.0827,-0.0258,0.8503,0.505
0.9147,0.0865,-0.0258,0.8503,0.515
0.9114,0.0841,-0.024,0.8503,0.525
0.9114,0.0861,-0.0244,0.8503,0.535
0.9114,0.0924,-0.0244,0.8503,0.545
0.9114,0.0986,-0.0258,0.8503,0.554
0.9048,0.0875,-0.0231,0.8503,0.564
0.899,0.0847,-0.024,0.8503,0.574
0.8957,0.0822,-0.0226,0.8503,0.584
0.8932,0.0839,-0.0244,0.8503,0.594
0.8899,0.0835,-0.0244,0.8503,0.604
0.8899,0.0877,-0.0248,0.8503,0.614
0.8866,0.0873,-0.0244,0.8503,0.624
0.8833,0.0849,-0.0235,0.8503,0.634
0.88,0.0783,-0.0221,0.8503,0.644
0.8766,0.0779,-0.0221,0.8503,0.653
0.8733,0.0858,-0.0239,0.8503,0.663
0.87,0.0855,-0.0234,0.8503,0.673
0.8667,0.083,-0.0229,0.8503,0.683
0.8667,0.0913,-0.0247,0.8503,0.693
0.8667,0.0934,-0.0252,0.8503,0.703
0.8667,0.0976,-0.026,0.8503,0.713
0.8568,0.0861,-0.0238,0.8503,0.723
0.8535,0.0836,-0.0233,0.8503,0.733
0.8535,0.094,-0.0255,0.8503,0.743
0.8501,0.0978,-0.0264,0.8503,0.752
0.8501,0.0999,-0.0269,0.8503,0.762
0.8435,0.0887,-0.0246,0.8503,0.772
0.8402,0.0863,-0.0242,0.8503,0.782
0.8402,0.0946,-0.0259,0.8503,0.792
0.8402,0.103,-0.0264,0.8503,0.802
0.8402,0.105,-0.0268,0.8503,0.812
0.8402,0.1113,-0.0277,0.8503,0.822
0.8402,0.1217,-0.0299,0.8503,0.832
0.8402,0.1259,-0.0308,0.8503,0.842
0.8369,0.1276,-0.0312,0.8503,0.851
0.8303,0.1185,-0.029,0.8503,0.861
0.8237,0.1073,-0.0267,0.8503,0.871
0.8237,0.1198,-0.0294,0.8503,0.881
0.8137,0.1062,-0.0263,0.8503,0.891
0.8137,0.1146,-0.028,0.8503,0.901
0.7972,0.0939,-0.024,0.8503,0.911
0.7872,0.0866,-0.0221,0.8503,0.921
0.7773,0.0875,-0.0221,0.8503,0.931
0.774,0.0913,-0.023,0.8503,0.941
0.7508,0.0616,-0.0171,0.8503,0.95
0.7376,0.0539,-0.0157,0.8503,0.96
0.7351,0.0681,-0.0202,0.8503,0.97
0.7086,0.0464,-0.0156,0.8503,0.98
0.6755,0.0322,-0.0132,0.8503,0.99
