bal_acc,eq_opp_diff,error_rate_diff,consistency,thresh
0.7332,-0.0017,0.0419,0.8503,0.01
0.7552,-0.0017,0.0549,0.8503,0.02
0.7739,-0.0017,0.0524,0.8503,0.03
0.7909,-0.0017,0.05,0.8503,0.04
0.8034,-0.0017,0.0519,0.8503,0.05
0.8166,-0.0017,0.0449,0.8503,0.059
0.8278,-0.0017,0.044,0.8503,0.069
0.8441,-0.0017,0.0372,0.8503,0.079
0.8535,-0.0017,0.0384,0.8503,0.089
0.8686,-0.0017,0.0313,0.8503,0.099
0.8836,-0.0017,0.0246,0.8503,0.109
0.8924,-0.0017,0.0229,0.8503,0.119
0.9055,-0.0017,0.0174,0.8503,0.129
0.9088,-0.0055,0.0199,0.8503,0.139
0.9182,-0.0055,0.0142,0.8503,0.149
0.927,-0.0055,0.011,0.8503,0.158
0.932,-0.0055,0.0101,0.8503,0.168
0.9395,-0.0055,0.0066,0.8503,0.178
0.9451,-0.0034,0.0041,0.8503,0.188
0.9533,0.001,-0.0049,0.8503,0.198
0.9602,0.001,-0.0089,0.8503,0.208
0.9646,0.001,-0.0113,0.8503,0.218
0.9671,0.001,-0.011,0.8503,0.228
0.9689,0.0031,-0.0101,0.8503,0.238
0.9708,0.0117,-0.0098,0.8503,0.248
0.9644,-0.0019,-0.0084,0.8503,0.257
0.9669,-0.0019,-0.0091,0.8503,0.267
0.9657,0.0007,-0.0092,0.8503,0.277
0.9664,0.0072,-0.0092,0.8503,0.287
0.9683,0.0136,-0.0123,0.8503,0.297
0.9665,0.0206,-0.0144,0.8503,0.307
0.9582,0.0048,-0.0103,0.8503,0.317
0.9528,0.0036,-0.0108,0.8503,0.327
0.9474,-0.0019,-0.0073,0.8503,0.337
0.9391,-0.0091,-0.0072,0.8503,0.347
0.9301,-0.0185,-0.0045,0.8503,0.356
0.9254,-0.0261,-0.005,0.8503,0.366
0.9194,-0.0252,-0.0049,0.8503,0.376
0.9153,-0.0242,-0.0074,0.8503,0.386
0.9105,-0.0254,-0.0099,0.8503,0.396
0.9022,-0.0369,-0.0093,0.8503,0.406
0.8932,-0.0527,-0.0062,0.8503,0.416
0.8902,-0.0479,-0.0076,0.8503,0.426
0.8848,-0.0556,-0.0066,0.8503,0.436
0.8818,-0.0594,-0.0061,0.8503,0.446
0.8818,-0.0444,-0.0095,0.8503,0.455
0.8825,-0.0379,-0.0105,0.8503,0.465
0.8825,-0.0271,-0.0125,0.8503,0.475
0.8837,-0.0206,-0.0161,0.8503,0.485
0.8807,-0.0202,-0.0155,0.8503,0.495
0.8747,-0.0321,-0.0134,0.8503,0.505
0.8724,-0.0274,-0.0154,0.8503,0.515
0.867,-0.0372,-0.0139,0.8503,0.525
0.867,-0.035,-0.0144,0.8503,0.535
0.864,-0.0367,-0.0128,0.8503,0.545
0.858,-0.0465,-0.0113,0.8503,0.554
0.855,-0.0482,-0.0107,0.8503,0.564
0.852,-0.0413,-0.0121,0.8503,0.574
0.8527,-0.0348,-0.0142,0.8503,0.584
0.8533,-0.024,-0.0177,0.8503,0.594
0.8503,-0.0235,-0.0181,0.8503,0.604
0.8503,-0.0192,-0.0186,0.8503,0.614
0.8443,-0.0269,-0.017,0.8503,0.624
0.8443,-0.0204,-0.018,0.8503,0.634
0.8443,-0.0183,-0.0185,0.8503,0.644
0.8443,-0.0097,-0.0205,0.8503,0.653
0.8383,-0.0087,-0.0213,0.8503,0.663
0.8323,-0.0164,-0.0198,0.8503,0.673
0.8293,-0.018,-0.0197,0.8503,0.683
0.8263,-0.0176,-0.0202,0.8503,0.693
0.8263,-0.0154,-0.0206,0.8503,0.703
0.8234,-0.0192,-0.0201,0.8503,0.713
0.8204,-0.0123,-0.022,0.8503,0.723
0.8174,-0.014,-0.022,0.8503,0.733
0.8144,-0.0113,-0.0229,0.8503,0.743
0.8084,-0.0147,-0.0228,0.8503,0.752
0.8084,-0.0125,-0.0233,0.8503,0.762
0.8054,-0.0142,-0.0232,0.8503,0.772
0.8054,-0.0078,-0.0247,0.8503,0.782
0.8054,0.0009,-0.0267,0.8503,0.792
0.8054,0.0095,-0.0272,0.8503,0.802
0.8054,0.0116,-0.0277,0.8503,0.812
0.7994,0.0018,-0.0256,0.8503,0.822
0.7934,-0.0037,-0.025,0.8503,0.832
0.7934,0.0006,-0.026,0.8503,0.842
0.7844,-0.013,-0.0239,0.8503,0.851
0.7814,-0.0126,-0.0238,0.8503,0.861
0.7754,-0.0224,-0.0222,0.8503,0.871
0.7725,-0.0176,-0.0237,0.8503,0.881
0.7695,-0.0128,-0.0246,0.8503,0.891
0.7605,-0.0286,-0.022,0.8503,0.901
0.7515,-0.0293,-0.0228,0.8503,0.911
0.7425,-0.0344,-0.0222,0.8503,0.921
0.7335,-0.0308,-0.0235,0.8503,0.931
0.7275,-0.0341,-0.0234,0.8503,0.941
0.7246,-0.0099,-0.0292,0.8503,0.95
0.7096,-0.0226,-0.028,0.8503,0.96
0.7006,-0.0234,-0.0283,0.8503,0.97
0.6826,-0.0227,-0.03,0.8503,0.98
0.6617,-0.0042,-0.0365,0.8503,0.99
